bioname,url,website
"WAGNER, Ann",https://www.congress.gov/member/ann-wagner/W000812,https://wagner.house.gov/
"SMITH, Jason",https://www.congress.gov/member/jason-smith/S001195,https://jasonsmith.house.gov/
"ALFORD, Mark",https://www.congress.gov/member/mark-alford/A000379,https://alford.house.gov/
"BURLISON, Eric",https://www.congress.gov/member/eric-burlison/B001316,https://burlison.house.gov/
"BELL, Wesley",https://www.congress.gov/member/wesley-bell/B001324,https://bell.house.gov/
"ONDER, Robert F., Jr.",https://www.congress.gov/member/robert-onder/O000177,https://onder.house.gov/
"ZINKE, Ryan",https://www.congress.gov/member/ryan-zinke/Z000018,https://zinke.house.gov/
"DOWNING, Troy",https://www.congress.gov/member/troy-downing/D000634,https://downing.house.gov/
"SMITH, Adrian",https://www.congress.gov/member/adrian-smith/S001172,https://adriansmith.house.gov/
"BACON, Donald J.",https://www.congress.gov/member/don-bacon/B001298,https://bacon.house.gov/
"FLOOD, Mike",https://www.congress.gov/member/mike-flood/F000474,https://flood.house.gov/
"TITUS, Alice (Dina)",https://www.congress.gov/member/dina-titus/T000468,https://titus.house.gov/
"AMODEI, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,https://amodei.house.gov/
"HORSFORD, Steven",https://www.congress.gov/member/steven-horsford/H001066,https://horsford.house.gov/
"LEE, Susie",https://www.congress.gov/member/susie-lee/L000590,https://susielee.house.gov/
"PAPPAS, Chris",https://www.congress.gov/member/chris-pappas/P000614,https://pappas.house.gov/
"GOODLANDER, Maggie",https://www.congress.gov/member/maggie-goodlander/G000604,https://goodlander.house.gov/
"SMITH, Christopher Henry",https://www.congress.gov/member/christopher-smith/S000522,https://chrissmith.house.gov/
"PALLONE, Frank, Jr.",https://www.congress.gov/member/frank-pallone/P000034,https://pallone.house.gov/
"NORCROSS, Donald",https://www.congress.gov/member/donald-norcross/N000188,https://norcross.house.gov/
"WATSON COLEMAN, Bonnie",https://www.congress.gov/member/bonnie-watson-coleman/W000822,https://watsoncoleman.house.gov/
"GOTTHEIMER, Josh S.",https://www.congress.gov/member/josh-gottheimer/G000583,https://gottheimer.house.gov/
"SHERRILL, Mikie",https://www.congress.gov/member/mikie-sherrill/S001207,https://sherrill.house.gov/
"KEAN, Thomas",https://www.congress.gov/member/thomas-kean/K000398,https://kean.house.gov/
"MENENDEZ, Robert",https://www.congress.gov/member/robert-menendez/M001226,https://menendez.house.gov
"MCIVER, LaMonica",https://www.congress.gov/member/lamonica-mciver/M001229,https://mciver.house.gov/
"CONAWAY, Herbert C., Jr.",https://www.congress.gov/member/herbert-conaway/C001136,https://conaway.house.gov/
"POU, Nellie",https://www.congress.gov/member/nellie-pou/P000621,https://pou.house.gov/
"VAN DREW, Jefferson",https://www.congress.gov/member/jefferson-van-drew/V000133,https://vandrew.house.gov/
"LEGER FERNANDEZ, Teresa",https://www.congress.gov/member/teresa-leger-fernandez/L000273,https://fernandez.house.gov/
"STANSBURY, Melanie Ann",https://www.congress.gov/member/melanie-stansbury/S001218,https://stansbury.house.gov/
"VASQUEZ, Gabriel",https://www.congress.gov/member/gabe-vasquez/V000136,https://vasquez.house.gov/
"CLARKE, Yvette Diane",https://www.congress.gov/member/yvette-clarke/C001067,https://clarke.house.gov/
"TONKO, Paul",https://www.congress.gov/member/paul-tonko/T000469,https://tonko.house.gov/
"MENG, Grace",https://www.congress.gov/member/grace-meng/M001188,https://meng.house.gov/
"JEFFRIES, Hakeem",https://www.congress.gov/member/hakeem-jeffries/J000294,https://jeffries.house.gov/
"STEFANIK, Elise M",https://www.congress.gov/member/elise-stefanik/S001196,https://stefanik.house.gov/
"ESPAILLAT, Adriano J.",https://www.congress.gov/member/adriano-espaillat/E000297,https://espaillat.house.gov/
"SUOZZI, Thomas",https://www.congress.gov/member/thomas-suozzi/S001201,https://suozzi.house.gov/
"TENNEY, Claudia",https://www.congress.gov/member/claudia-tenney/T000478,https://tenney.house.gov/
"MORELLE, Joseph D.",https://www.congress.gov/member/joseph-morelle/M001206,https://morelle.house.gov/
"OCASIO-CORTEZ, Alexandria",https://www.congress.gov/member/alexandria-ocasio-cortez/O000172,https://ocasio-cortez.house.gov/
"GARBARINO, Andrew R.",https://www.congress.gov/member/andrew-garbarino/G000597,https://garbarino.house.gov/
"MALLIOTAKIS, Nicole",https://www.congress.gov/member/nicole-malliotakis/M000317,https://malliotakis.house.gov/
"TORRES, Ritchie",https://www.congress.gov/member/ritchie-torres/T000486,https://ritchietorres.house.gov/
"RYAN, Patrick",https://www.congress.gov/member/patrick-ryan/R000579,https://patryan.house.gov/
"GOLDMAN, Daniel",https://www.congress.gov/member/daniel-goldman/G000599,https://goldman.house.gov/
"LALOTA, Nicholas",https://www.congress.gov/member/nick-lalota/L000598,https://lalota.house.gov/
"LANGWORTHY, Nick",https://www.congress.gov/member/nicholas-langworthy/L000600,https://langworthy.house.gov/
"LAWLER, Michael",https://www.congress.gov/member/michael-lawler/L000599,https://lawler.house.gov/
"KENNEDY, Timothy M.",https://www.congress.gov/member/timothy-kennedy/K000402,https://kennedy.house.gov/
"GILLEN, Laura",https://www.congress.gov/member/laura-gillen/G000602,https://gillen.house.gov/
"LATIMER, George",https://www.congress.gov/member/george-latimer/L000606,https://latimer.house.gov/
"MANNION, John W.",https://www.congress.gov/member/john-mannion/M001231,https://mannion.house.gov/
"RILEY, Josh",https://www.congress.gov/member/josh-riley/R000622,https://riley.house.gov/
"NADLER, Jerrold Lewis",https://www.congress.gov/member/jerrold-nadler/N000002,https://nadler.house.gov/
"VELÁZQUEZ, Nydia M.",https://www.congress.gov/member/nydia-velazquez/V000081,https://velazquez.house.gov/
"MEEKS, Gregory W.",https://www.congress.gov/member/gregory-meeks/M001137,https://meeks.house.gov/
"FOXX, Virginia Ann",https://www.congress.gov/member/virginia-foxx/F000450,https://foxx.house.gov/
"HUDSON, Richard",https://www.congress.gov/member/richard-hudson/H001067,https://hudson.house.gov/
"ROUZER, David",https://www.congress.gov/member/david-rouzer/R000603,https://rouzer.house.gov/
"ADAMS, Alma",https://www.congress.gov/member/alma-adams/A000370,https://adams.house.gov/
"MURPHY, Gregory Francis",https://www.congress.gov/member/gregory-murphy/M001210,https://murphy.house.gov/
